Income,Age,Dependents,Desired_Savings,Disposable_Income,Loan_Repayment,Savings_Ratio,Debt_Ratio,Expense_Ratio,Risk_Label,Behavior_Label
44637.24963568593,49,0,6200.537192442157,11265.6277068517,0.0,13.890948127514207,0.0,74.76182381576389,Medium Risk,Balanced
26858.596591729543,34,2,1923.1764339045449,9676.818732684447,0.0,7.160375737936883,0.0,63.9712421323451,High Risk,Balanced
50367.60508357677,35,1,7050.360421687626,13891.450624290315,4612.103386494076,13.997807539168699,9.15688442768134,63.262986238712784,Medium Risk,Balanced
101455.6002469913,21,0,16694.965136405768,31617.95361466108,6809.441426747919,16.45543971526684,6.711745246364412,62.12392913958579,Low Risk,Balanced
24875.28354773196,52,4,1874.0994338344517,6265.700532103096,3112.6093984226027,7.533982196578119,12.51285997383696,62.29868128928011,High Risk,Balanced
24875.61026730744,57,4,1478.6663590860635,7599.265299650189,0.0,5.9442415409980445,0.0,69.45093922122804,High Risk,Balanced
106119.69276166476,53,0,18399.564591550105,41595.32572289698,0.0,17.338501566220952,0.0,60.80338659072796,Low Risk,Balanced
55431.34150830326,40,1,6636.413892703046,8465.944597092319,8307.702220408508,11.972313337769307,14.9873735586285,69.7397783256098,Medium Risk,Balanced
20606.733120766687,32,4,362.9178724283629,362.9178724283629,3562.488826158373,1.7611616082057566,17.287984491671953,80.95085390012228,High Risk,Aggressive Spender
46304.79023459725,30,1,5615.1047449505895,15690.256276016116,0.0,12.126401429533285,0.0,66.11526324485338,Medium Risk,Balanced
20706.822335826528,31,0,1729.7027630096304,8058.57116202657,0.0,8.353298902926952,0.0,61.082531006779384,Medium Risk,Balanced
20668.55739001468,31,4,1704.193685883013,6119.611452794788,0.0,8.245344141465512,0.0,70.39168560573428,Medium Risk,Balanced
36407.22336013257,54,3,2743.079538793525,4590.467260729598,4583.248323227494,7.534437635244965,12.588843367402585,74.8024849541185,High Risk,Balanced
6492.016465573834,22,3,464.2909173976621,1880.9261396743927,0.0,7.151721192632913,0.0,71.0270892002715,High Risk,Balanced
7547.85272595847,39,4,412.21404015408274,2161.4551751096524,0.0,5.461341856027502,0.0,71.36331015474101,High Risk,Balanced
19132.096281101058,45,2,1533.959450484261,3204.3523947057365,2525.4053418435365,8.017728052098121,13.199836049007164,70.05159470052843,Medium Risk,Balanced
13342.207217642665,62,4,1086.1303240701657,1098.2901707765177,2540.481210907885,8.140559551750583,19.040936551701552,72.72736570248449,Medium Risk,Balanced
38574.64702065896,21,4,2666.0859596866626,10612.576689849451,0.0,6.911498006083683,0.0,72.48820790462243,High Risk,Balanced
14509.130214675472,55,4,1049.9662330480185,2482.6099382833563,829.4411881855278,7.236589771494467,5.716684431893633,77.17264179544782,High Risk,Aggressive Spender
9692.519676095202,46,0,505.94103763708455,3659.068173875291,0.0,5.2199124122997045,0.0,62.248534992405524,High Risk,Balanced
96903.5735346614,54,4,13125.68698983893,20836.43014417688,9481.168344577973,13.545101084578693,9.784126630981941,68.71364245621908,Medium Risk,Balanced
25042.549077566902,52,4,1439.4375120999566,4900.615035330291,2898.038657275169,5.747967220275526,11.572458731332706,68.85838710568211,High Risk,Balanced
31665.25254344452,37,0,2164.459421221964,8792.3411666813,0.0,6.835440261379061,0.0,72.23347214863274,High Risk,Balanced
9596.503685321524,52,4,522.9089707974001,3095.6580436953964,0.0,5.448952951450677,0.0,67.74181363124565,High Risk,Balanced
19408.11353403291,52,3,826.2663088605877,826.2663088605877,2832.160281310571,4.257324172242173,14.592661344155184,81.15001448360263,High Risk,Aggressive Spender
32783.83155406074,37,3,3073.112962281771,9772.99929308625,0.0,9.373867594500629,0.0,70.18957568467702,Medium Risk,Balanced
11946.071979814871,19,4,670.4537084148577,4147.829434383291,0.0,5.612336084595128,0.0,65.27871721021079,High Risk,Balanced
40518.38397137296,35,0,5993.95672349246,16466.83101771838,0.0,14.79317814779412,0.0,59.35960568083731,Medium Risk,Balanced
18554.01911983324,47,4,1793.1139070688962,3422.993164291256,1192.2245655336949,9.664288343608284,6.4256943890893785,75.1255094650003,High Risk,Aggressive Spender
23756.1722713903,59,4,1502.4029682667194,7421.818799473136,0.0,6.324263652844748,0.0,68.75835587195469,High Risk,Balanced
18538.17448835576,46,1,1734.1727077284286,2054.643023444773,3359.642815107103,9.354603436372342,18.122835218847303,70.79385652588013,Medium Risk,Balanced
132028.78001915166,56,2,24469.691483246374,50041.28302458506,0.0,18.533604173042335,0.0,62.0982008488405,Low Risk,Saver
